ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-03-31 19:45:26-04:00,410708,5vTDDBPqoopBZTe7JURTRSyZvtDkKG33Bkn9raMD5QUb,CSEQ8WK6a2YkphL5oGskkbrnkXhUJj8o7dKRMe1rqPjc,6,20728953837565,-119996337630945936,11848452441596,1648756800,14080933341774,11865727097012
2022-03-31 19:45:26-04:00,410709,5vTDDBPqoopBZTe7JURTRSyZvtDkKG33Bkn9raMD5QUb,CSEQ8WK6a2YkphL5oGskkbrnkXhUJj8o7dKRMe1rqPjc,3,7958856873659,6498406024424102,-379636726707328,1648756809,-379759200693160,-438756419484738
2022-03-31 19:45:29-04:00,410710,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,HuX5jsbAUR6HfsaLubDjgg5v1MYifCYTPvpkqbYU2dSM,0,50955941805,-20036796351635,499151740554112,1648749612,1570835762272003,499406052375777
2022-03-31 19:45:29-04:00,410711,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,HuX5jsbAUR6HfsaLubDjgg5v1MYifCYTPvpkqbYU2dSM,3,229319184896208,96544481868533745,-379521673720662,1648749631,-379759200693160,-438756419484738
2022-03-31 19:45:29-04:00,410712,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,HuX5jsbAUR6HfsaLubDjgg5v1MYifCYTPvpkqbYU2dSM,1,-5339508050062,3741526559921,1038654208449253469,1648749623,1038796917794344300,487139956613414523
2022-03-31 19:45:29-04:00,410713,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,HuX5jsbAUR6HfsaLubDjgg5v1MYifCYTPvpkqbYU2dSM,2,-14339291817622,68654778436495,51035041875303079,1648749708,51055927955113076,40499193763852245
2022-03-31 19:45:29-04:00,410714,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,HuX5jsbAUR6HfsaLubDjgg5v1MYifCYTPvpkqbYU2dSM,4,4034100854560,4478634619632352,262360885941996,1648749665,262270811595746,95663380933989
2022-03-31 19:45:33-04:00,410715,C9iAtD6pHgvJN4Zzdz8vGdac2cWoYgve4tNHUB2AYbrT,51nJasyRr6GwVhmNoUQBgBm74p44oUPBTqZCeynMHTxW,4,8503445,15209294305,262326721130746,1648756802,262270811595746,95663380933989
2022-03-31 19:45:33-04:00,410716,C9iAtD6pHgvJN4Zzdz8vGdac2cWoYgve4tNHUB2AYbrT,51nJasyRr6GwVhmNoUQBgBm74p44oUPBTqZCeynMHTxW,7,77518545,-31402391324,273347246104783,1648756809,276044246218423,273594101653948
2022-03-31 19:45:33-04:00,410717,C9iAtD6pHgvJN4Zzdz8vGdac2cWoYgve4tNHUB2AYbrT,51nJasyRr6GwVhmNoUQBgBm74p44oUPBTqZCeynMHTxW,0,45977385,-37544027693,499283589795362,1648756800,1570835762272003,499406052375777
